date,RA,dec,dist
1825-Jan-01 00:00,289.5681666666667,-22.642805555555555,20.5550215276844
1825-Jan-08 00:00,290.0144583333333,-22.587527777777776,20.5601943961943
1825-Jan-15 00:00,290.4594166666667,-22.531416666666665,20.5514898984039
1825-Jan-22 00:00,290.8984583333333,-22.475111111111108,20.5289560200102
1825-Jan-29 00:00,291.3267916666667,-22.419333333333334,20.4929287585014
1825-Feb-05 00:00,291.73995833333333,-22.36475,20.4440093261411
1825-Feb-12 00:00,292.1339583333333,-22.31202777777778,20.3828858503841
1825-Feb-19 00:00,292.5047083333333,-22.26188888888889,20.3103185804374
1825-Feb-26 00:00,292.848125,-22.215083333333332,20.2273351188049
1825-Mar-05 00:00,293.1606666666667,-22.172305555555557,20.135175357584
1825-Mar-12 00:00,293.439375,-22.13411111111111,20.0351058525678
1825-Mar-19 00:00,293.681375,-22.101111111111113,19.9284238280472
1825-Mar-26 00:00,293.88391666666666,-22.073888888888888,19.8166431754773
1825-Apr-02 00:00,294.04508333333337,-22.052833333333336,19.7014096068828
1825-Apr-09 00:00,294.16366666666664,-22.038194444444446,19.5843121294461
1825-Apr-16 00:00,294.23858333333334,-22.03025,19.4669106833637
1825-Apr-23 00:00,294.2692083333333,-22.02911111111111,19.3509092919043
1825-Apr-30 00:00,294.255875,-22.034694444444447,19.2380448008772
1825-May-07 00:00,294.1997083333334,-22.04677777777778,19.1299000154779
1825-May-14 00:00,294.1020833333334,-22.065055555555556,19.0279601671287
1825-May-21 00:00,293.9649166666666,-22.089138888888886,18.9337675612559
1825-May-28 00:00,293.79129166666667,-22.118444444444446,18.8487887687636
1825-Jun-04 00:00,293.58487499999995,-22.152194444444444,18.7742364174049
1825-Jun-11 00:00,293.3496666666667,-22.189666666666668,18.7111618039076
1825-Jun-18 00:00,293.09004166666665,-22.23011111111111,18.6605878965699
1825-Jun-25 00:00,292.8114166666666,-22.27252777777778,18.6233634494312
1825-Jul-02 00:00,292.5195,-22.316,18.6000050191467
