date,RA,dec,dist
1825-Jan-01 00:00,304.71154166666673,-20.697166666666668,0.98150790652762
1825-Jan-08 00:00,308.20745833333336,-18.084777777777777,0.79947685759698
1825-Jan-15 00:00,302.89004166666666,-17.155555555555555,0.6769720630022
1825-Jan-22 00:00,294.12095833333336,-18.051972222222222,0.68214348921249
1825-Jan-29 00:00,291.2315833333333,-19.331222222222223,0.77851389537157
1825-Feb-05 00:00,294.65079166666663,-20.139,0.90006146356177
1825-Feb-12 00:00,301.72325,-20.114805555555556,1.01588407899247
1825-Feb-19 00:00,310.705625,-19.106944444444444,1.11706633280219
1825-Feb-26 00:00,320.71229166666666,-17.063750000000002,1.20211835530411
1825-Mar-05 00:00,331.32804166666665,-13.977388888888889,1.27099740427451
1825-Mar-12 00:00,342.40954166666666,-9.860527777777778,1.3224123607461
1825-Mar-19 00:00,353.9880416666667,-4.751027777777778,1.3516740647077
1825-Mar-26 00:00,6.1885,1.2396944444444444,1.34828501299775
1825-Apr-02 00:00,19.029625,7.773027777777778,1.29501748500526
1825-Apr-09 00:00,31.944875,14.039027777777777,1.17859476360326
1825-Apr-16 00:00,43.47895833333333,18.918305555555555,1.01453335872307
1825-Apr-23 00:00,52.010083333333334,21.748222222222225,0.84335101338261
1825-Apr-30 00:00,56.461375000000004,22.4685,0.6982563422277
1825-May-07 00:00,56.548458333333336,21.240277777777777,0.59809903968862
1825-May-14 00:00,53.51591666666666,18.60086111111111,0.55362223775647
1825-May-21 00:00,50.243208333333335,15.870361111111112,0.5666073001237
1825-May-28 00:00,49.341541666666664,14.45686111111111,0.62844435346011
1825-Jun-04 00:00,51.75325000000001,14.815861111111111,0.72658869622725
1825-Jun-11 00:00,57.397166666666664,16.609555555555556,0.85061740942127
1825-Jun-18 00:00,66.09387500000001,19.226305555555555,0.99160494221135
1825-Jun-25 00:00,77.862875,21.922027777777778,1.13622187937
1825-Jul-02 00:00,92.55066666666666,23.72975,1.2588433915457
1825-Jul-09 00:00,108.92199999999998,23.65833333333333,1.32646931583154
1825-Jul-16 00:00,124.79645833333332,21.454277777777776,1.32825082240876
1825-Jul-23 00:00,138.773125,17.722805555555553,1.28246631933112
1825-Jul-30 00:00,150.65541666666667,13.208472222222222,1.21048090038046
1825-Aug-06 00:00,160.6989583333333,8.447777777777778,1.12461049065529
1825-Aug-13 00:00,169.11725,3.8153611111111108,1.03025174479036
1825-Aug-20 00:00,175.88737500000002,-0.3575,0.9298637846971
1825-Aug-27 00:00,180.61479166666666,-3.6550277777777778,0.82649361719756
1825-Sep-03 00:00,182.40754166666667,-5.411277777777778,0.72823145904781
1825-Sep-10 00:00,180.13858333333334,-4.6176666666666675,0.65588275377674
1825-Sep-17 00:00,174.48433333333332,-0.8653055555555556,0.64980866023234
1825-Sep-24 00:00,170.57791666666668,3.255138888888889,0.74697148179001
1825-Oct-01 00:00,173.22266666666667,4.144833333333334,0.92670189398482
1825-Oct-08 00:00,181.37062500000002,1.489138888888889,1.11801186034597
1825-Oct-15 00:00,191.79570833333332,-3.040833333333333,1.26797878850647
1825-Oct-22 00:00,202.701625,-8.043916666666666,1.36668088245127
1825-Oct-29 00:00,213.615875,-12.8255,1.42241317242963
1825-Nov-05 00:00,224.55891666666665,-17.07661111111111,1.44382706826834
1825-Nov-12 00:00,235.65195833333334,-20.629722222222224,1.43599964377884
1825-Nov-19 00:00,246.9753333333333,-23.354000000000003,1.4007610167145
1825-Nov-26 00:00,258.4965833333333,-25.120583333333332,1.33739635010472
1825-Dec-03 00:00,269.9700833333334,-25.802861111111113,1.24304334219514
1825-Dec-10 00:00,280.71437499999996,-25.321444444444445,1.11389984425549
1825-Dec-17 00:00,289.0712083333333,-23.7875,0.95088142069884
1825-Dec-24 00:00,291.52225,-21.796083333333335,0.7791942140153
1825-Dec-31 00:00,284.816625,-20.370305555555557,0.67637961270211
1826-Jan-07 00:00,275.986,-20.034833333333335,0.70976938298909
1826-Jan-14 00:00,274.4005833333334,-20.714444444444442,0.82919460167735
1826-Jan-21 00:00,279.106875,-21.644916666666667,0.96327715804958
1826-Jan-28 00:00,287.15116666666665,-22.108055555555556,1.0833492102263
1826-Feb-04 00:00,296.8862083333334,-21.741416666666666,1.18292540260809
1826-Feb-11 00:00,307.5090833333333,-20.38722222222222,1.26190169749103
1826-Feb-18 00:00,318.62487500000003,-17.978416666666664,1.32103347067887
1826-Feb-25 00:00,330.0632083333333,-14.488305555555554,1.35968101977447
1826-Mar-04 00:00,341.7983333333334,-9.917416666666666,1.37408881239101
1826-Mar-11 00:00,353.8763333333333,-4.323333333333333,1.35538928782952
1826-Mar-18 00:00,6.245,2.058222222222222,1.28874353267503
1826-Mar-25 00:00,18.327208333333335,8.548583333333333,1.16140471005435
1826-Apr-01 00:00,28.615416666666665,13.951388888888888,0.98665318030561
1826-Apr-08 00:00,35.27033333333333,17.200583333333334,0.80793994739768
1826-Apr-15 00:00,37.21241666666667,17.82125,0.66560371087865
1826-Apr-22 00:00,34.957375,15.898361111111111,0.58212846214446
1826-Apr-29 00:00,31.212125000000004,12.601277777777778,0.56432414734559
1826-May-06 00:00,29.2375,9.952499999999999,0.60313369960756
1826-May-13 00:00,30.467291666666668,9.162166666666668,0.68149838081734
1826-May-20 00:00,34.76470833333333,10.238055555555555,0.78528913861853
1826-May-27 00:00,41.67179166666667,12.717638888888889,0.90573064075911
1826-Jun-03 00:00,50.984625,16.075944444444445,1.03587837970734
1826-Jun-10 00:00,62.815875000000005,19.733361111111112,1.16494328750629
1826-Jun-17 00:00,77.29812500000001,22.89086111111111,1.27129155701974
1826-Jun-24 00:00,93.753,24.507833333333334,1.32424904047068
1826-Jul-01 00:00,110.25375000000001,23.92875,1.31019821862629
1826-Jul-08 00:00,125.03729166666666,21.444305555555555,1.24686889648073
1826-Jul-15 00:00,137.53720833333333,17.78813888888889,1.15854352518501
1826-Jul-22 00:00,147.85008333333334,13.60175,1.05989354357208
1826-Jul-29 00:00,156.13125,9.368,0.95761421452317
1826-Aug-05 00:00,162.31645833333334,5.516555555555556,0.85515678524303
1826-Aug-12 00:00,165.97754166666667,2.561222222222222,0.75689677049934
1826-Aug-19 00:00,166.31116666666665,1.2388333333333335,0.67301051860368
1826-Aug-26 00:00,162.79866666666666,2.3929722222222223,0.62568086039865
1826-Sep-02 00:00,157.33620833333333,5.817388888888889,0.6490021056285
1826-Sep-09 00:00,154.9860833333333,9.036805555555555,0.76421004095769
1826-Sep-16 00:00,159.083375,9.518333333333334,0.94742234234474
1826-Sep-23 00:00,168.28354166666668,6.871722222222223,1.13725827963068
1826-Sep-30 00:00,179.48029166666666,2.2576388888888888,1.28296660417641
1826-Oct-07 00:00,190.817875,-3.0331944444444443,1.37393940615434
1826-Oct-14 00:00,201.82345833333332,-8.256777777777778,1.41997096501087
1826-Oct-21 00:00,212.57291666666666,-13.070777777777778,1.43138453326443
1826-Oct-28 00:00,223.24900000000002,-17.30113888888889,1.41425394251178
1826-Nov-04 00:00,233.99004166666668,-20.823083333333333,1.37092541219859
1826-Nov-11 00:00,244.81300000000002,-23.513305555555554,1.30112177332467
1826-Nov-18 00:00,255.51037500000007,-25.237277777777777,1.20279683572721
1826-Nov-25 00:00,265.40729166666665,-25.86605555555556,1.07358172841613
1826-Dec-02 00:00,272.78783333333337,-25.343527777777776,0.91638094646674
1826-Dec-09 00:00,274.03383333333335,-23.79213888888889,0.75806189331201
1826-Dec-16 00:00,266.36075,-21.54727777777778,0.67717566467436
1826-Dec-23 00:00,258.17274999999995,-19.967388888888888,0.73715232711572
1826-Dec-30 00:00,258.02095833333334,-20.336222222222222,0.87677445326844
1827-Jan-06 00:00,263.85154166666666,-21.64525,1.02138278757269
1827-Jan-13 00:00,272.664375,-22.78891666666667,1.14447042924392
1827-Jan-20 00:00,282.9722916666667,-23.230305555555553,1.24181627923716
1827-Jan-27 00:00,294.082875,-22.728583333333333,1.31469027862346
1827-Feb-03 00:00,305.63733333333334,-21.16727777777778,1.36456106659025
1827-Feb-10 00:00,317.44424999999995,-18.485,1.39135092239136
1827-Feb-17 00:00,329.41858333333334,-14.652444444444445,1.39210189679622
1827-Feb-24 00:00,341.52454166666666,-9.687472222222222,1.35940637506611
1827-Mar-03 00:00,353.623875,-3.7506666666666666,1.28060785763398
1827-Mar-10 00:00,5.081375,2.596638888888889,1.1440563388873
1827-Mar-17 00:00,14.273208333333335,8.130555555555556,0.96126159101964
1827-Mar-24 00:00,19.078791666666664,11.381666666666668,0.7785200629066
1827-Mar-31 00:00,18.555125,11.44886111111111,0.64450825424682
1827-Apr-07 00:00,14.499125,8.679,0.58415090784826
1827-Apr-14 00:00,10.924124999999998,5.182916666666667,0.59513263068165
1827-Apr-21 00:00,10.558166666666667,3.1314444444444445,0.65627972992273
1827-Apr-28 00:00,13.599291666666666,3.1354444444444445,0.74602760160678
1827-May-05 00:00,19.30583333333333,4.891249999999999,0.85134069053611
1827-May-12 00:00,27.090541666666667,7.949916666666667,0.96547441524784
1827-May-19 00:00,36.756750000000004,11.90788888888889,1.08322483669044
1827-May-26 00:00,48.44887500000001,16.3435,1.19579589433349
1827-Jun-02 00:00,62.44150000000001,20.645583333333335,1.28489980499835
1827-Jun-09 00:00,78.50058333333332,23.858833333333333,1.32246975231625
1827-Jun-16 00:00,95.14383333333332,25.04963888888889,1.29254365229691
1827-Jun-23 00:00,110.45537499999999,24.100805555555556,1.21143553132418
1827-Jun-30 00:00,123.462,21.60816666666667,1.10636917086156
1827-Jul-07 00:00,134.00070833333334,18.267194444444442,0.9947720400866
1827-Jul-14 00:00,142.08979166666668,14.660472222222223,0.884920608869
1827-Jul-21 00:00,147.579375,11.315972222222223,0.78154847994375
1827-Jul-28 00:00,150.01241666666667,8.828,0.69067450581578
1827-Aug-04 00:00,148.8069583333333,7.919444444444445,0.62442623643303
1827-Aug-11 00:00,144.32379166666666,9.119,0.60454066707854
1827-Aug-18 00:00,139.565875,11.799777777777777,0.6557492617997
1827-Aug-25 00:00,138.99458333333334,14.081666666666667,0.78519949537304
1827-Sep-01 00:00,144.59104166666665,14.328944444444444,0.96850843422438
1827-Sep-08 00:00,154.91004166666667,11.954472222222222,1.15396493496028
1827-Sep-15 00:00,167.02908333333332,7.538833333333333,1.29344068737875
1827-Sep-22 00:00,178.9827083333333,2.191611111111111,1.3751011767315
1827-Sep-29 00:00,190.24570833333334,-3.2879722222222223,1.41002475455409
1827-Oct-06 00:00,200.92908333333332,-8.49861111111111,1.41035708512356
1827-Oct-13 00:00,211.2664166666667,-13.241833333333332,1.38332430853043
1827-Oct-20 00:00,221.43908333333334,-17.389277777777778,1.33189560408895
1827-Oct-27 00:00,231.49879166666665,-20.820555555555554,1.25624297955887
1827-Nov-03 00:00,241.25970833333335,-23.39388888888889,1.15503548799957
1827-Nov-10 00:00,250.05325000000002,-24.9315,1.02728948549495
1827-Nov-17 00:00,256.15479166666665,-25.199194444444444,0.87801100951885
1827-Nov-24 00:00,256.08045833333335,-23.823138888888888,0.73599913369383
1827-Dec-01 00:00,247.984875,-20.606583333333333,0.67889397646774
1827-Dec-08 00:00,241.02075,-18.034166666666668,0.76319317794
1827-Dec-15 00:00,242.29141666666666,-18.379166666666666,0.92003723692079
1827-Dec-22 00:00,249.05300000000003,-20.23686111111111,1.07325424052371
1827-Dec-29 00:00,258.42020833333333,-22.171555555555557,1.19815034396968
1828-Jan-05 00:00,269.093125,-23.51725,1.29258966412504
1828-Jan-12 00:00,280.5070416666667,-23.974833333333333,1.35922619130652
1828-Jan-19 00:00,292.3659166666667,-23.388583333333333,1.40027597466944
1828-Jan-26 00:00,304.47745833333335,-21.664805555555553,1.41612788579748
1828-Feb-02 00:00,316.70654166666674,-18.745305555555557,1.40450178233996
1828-Feb-09 00:00,328.93375000000003,-14.615472222222222,1.3592516775676
1828-Feb-16 00:00,340.9244166666667,-9.378805555555555,1.26975291039006
1828-Feb-23 00:00,351.95345833333334,-3.495861111111111,1.12581007233543
1828-Mar-01 00:00,0.23466666666666666,1.8283888888888888,0.9378353998933
1828-Mar-08 00:00,3.3065416666666665,4.778611111111111,0.75484935661655
1828-Mar-15 00:00,0.5040416666666667,4.124305555555555,0.63476421519309
1828-Mar-22 00:00,355.266,0.8209444444444445,0.60236354477812
1828-Mar-29 00:00,352.4324166666667,-2.31575,0.64155853564653
1828-Apr-05 00:00,353.6585416666667,-3.59125,0.7208898145358
1828-Apr-12 00:00,358.18399999999997,-2.9255555555555555,0.81803558446525
1828-Apr-19 00:00,4.977541666666666,-0.7025555555555555,0.92214038582225
1828-Apr-26 00:00,13.421291666666667,2.721861111111111,1.02832508684383
1828-May-03 00:00,23.320416666666663,7.062805555555555,1.13277595466782
1828-May-10 00:00,34.80779166666667,12.031833333333335,1.22836783819733
1828-May-17 00:00,48.193375,17.191194444444445,1.29963359976162
1828-May-24 00:00,63.51845833333334,21.749472222222224,1.32132226702568
1828-May-31 00:00,79.780125,24.66311111111111,1.27574757388969
1828-Jun-07 00:00,95.154,25.41258333333333,1.17704453482845
1828-Jun-14 00:00,108.34683333333334,24.333083333333335,1.05520357610983
1828-Jun-21 00:00,118.87850000000002,22.088166666666666,0.93094032771333
1828-Jun-28 00:00,126.54941666666667,19.31727777777778,0.81444980492055
1828-Jul-05 00:00,131.0685,16.61475,0.71208909562661
1828-Jul-12 00:00,132.00183333333334,14.597055555555556,0.63178691090713
1828-Jul-19 00:00,129.26441666666668,13.867833333333333,0.58694294328997
1828-Jul-26 00:00,124.4015,14.658166666666666,0.5957910026102
1828-Aug-02 00:00,121.04516666666666,16.387638888888887,0.67145895191116
1828-Aug-09 00:00,122.48370833333333,17.94911111111111,0.81063738098318
1828-Aug-16 00:00,129.59316666666666,18.240944444444445,0.99077891172018
1828-Aug-23 00:00,141.0495,16.437555555555555,1.16907912634946
1828-Aug-30 00:00,154.21354166666669,12.54786111111111,1.30041058328659
1828-Sep-06 00:00,166.97866666666667,7.420111111111112,1.37121999425364
1828-Sep-13 00:00,178.69224999999997,1.8990833333333332,1.3936093875939
